period,total_incidents,fraud_incidents,fraud_share_pct,source
2024 Q2,1481,947,63.94,OFF-18
2024 Q4,1550,1108,71.48,OFF-08
2025 Q1,1657,1126,67.95,OFF-09
2025 Q2,2058,1633,79.35,OFF-10
2025 Q3,2020,1521,75.30,OFF-11
2025 Q4,1881,1471,78.20,OFF-12
